Date_(DD/MM/YYYY),Day_Peak_Demand_MW,Evening_Peak_Demand_MW
20/05/2020,7109.3,6330
21/05/2020,4344.87,7411
22/05/2020,6143.1,9308
23/05/2020,7249.5,10242
24/05/2020,6606.5,9574
25/05/2020,6056.9,8929
26/05/2020,5863.02,8341
27/05/2020,4434.5,6958
28/05/2020,6522.5,8468
29/05/2020,6772.1,9155
30/05/2020,7183.1,9184
31/05/2020,8346.7,10574
01/06/2020,8859.9,9834
02/06/2020,9165.1,10228
03/06/2020,9280.3,10238
04/06/2020,9052.5,9376
05/06/2020,7720.9,10098
06/06/2020,8998.5,10677
07/06/2020,9670.9,11441
08/06/2020,9623.2,11464
09/06/2020,10166.5,11934
10/06/2020,9909.81,10804
11/06/2020,9492,11211
12/06/2020,7773.9,10167
13/06/2020,8525.7,10714
14/06/2020,9617.1,11410
15/06/2020,9834,11634
16/06/2020,9786.2,11389
17/06/2020,9118.2,10355
18/06/2020,8398.5,10510
19/06/2020,7642.6,10548
20/06/2020,8765,11332
21/06/2020,8868.7,11090
22/06/2020,9276.9,11476
23/06/2020,9747.46,11673
24/06/2020,10183.6,12070
25/06/2020,9692,11285
26/06/2020,8089.8,10790
27/06/2020,8659.7,10753
28/06/2020,9429.28,10619
29/06/2020,9449.7,11286
30/06/2020,9891.8,11367
01/07/2020,10212.8,12112
02/07/2020,10368.1,12032
03/07/2020,8841.66,11491
04/07/2020,9795.9,11743
05/07/2020,9726.9,11415
06/07/2020,8998.5,10677
07/07/2020,9863,11843
08/07/2020,9872.1,11838
09/07/2020,9901.8,11305
10/07/2020,8329.2,10640
11/07/2020,9120.3,10538
12/07/2020,9400.9,10886
13/07/2020,9516.7,11407
14/07/2020,9794.3,11783
15/07/2020,9895.1,11903
16/07/2020,10082.6,11962
17/07/2020,8814.5,11543
18/07/2020,9760.7,12103
19/07/2020,9731.9,11331
20/07/2020,9311.6,10787
21/07/2020,8782.3,10747
22/07/2020,9143.5,11483
23/07/2020,9474.2,11580
24/07/2020,8224.7,10998
25/07/2020,9099.3,12225
26/07/2020,10525.4,12536
27/07/2020,10052.3,11885
28/07/2020,10012.9,11797
29/07/2020,9259.7,11548
30/07/2020,9204,11169
31/07/2020,7640.3,10415
01/08/2020,6948.7,10778
02/08/2020,8016.67,10872
03/08/2020,8854.6,11454
04/08/2020,8472.3,10910
05/08/2020,8171.6,10538
06/08/2020,8725.8,11137
07/08/2020,8458.31,11323
08/08/2020,9665.7,12023
09/08/2020,10271.6,11974
10/08/2020,10363.3,12246
11/08/2020,10051.7,12246
12/08/2020,10458.18,12238
13/08/2020,10627.1,12484
14/08/2020,9399.3,11501
15/08/2020,8063.2,10589
16/08/2020,9527.7,11346
17/08/2020,9705.76,11682
18/08/2020,9724.8,11793
19/08/2020,9744.8,11429
20/08/2020,9170.8,11132
21/08/2020,7789.9,10401
22/08/2020,8925.8,11429
23/08/2020,9620.2,11804
24/08/2020,10151.1,11975
25/08/2020,10076.8,11563
26/08/2020,9440.5,11239
27/08/2020,10145.1,11595
28/08/2020,10012.9,11251
29/08/2020,9395.9,12081
30/08/2020,9575.3,12177
31/08/2020,10843.5,12577
01/09/2020,9415.63,11453
02/09/2020,10280.6,11982
03/09/2020,10641.73,12427
04/09/2020,9075.7,12101
05/09/2020,10311.2,12892
06/09/2020,10834,12097
07/09/2020,10047,11771
08/09/2020,10390.4,12016
09/09/2020,10370,12493
10/09/2020,9806,11941
11/09/2020,8559,11259
12/09/2020,9638,12229
13/09/2020,10506,12345
14/09/2020,10467,12040
15/09/2020,10377,12080
16/09/2020,10145,11966
17/09/2020,10144,11554
18/09/2020,8622,11639
19/09/2020,9719,12725
20/09/2020,10888,12220
21/09/2020,9987,11925
22/09/2020,9497,11422
23/09/2020,9468,11384
24/09/2020,9339,11477
25/09/2020,7853,10262
26/09/2020,9250,10714
27/09/2020,9260,11499
28/09/2020,10012.9,12111
29/09/2020,10215,12250
30/09/2020,10655,12428
01/10/2020,10286,12065
02/10/2020,8595,11238
03/10/2020,9624,12091
04/10/2020,10180,12317
05/10/2020,10276,12054
06/10/2020,9668,11944
07/10/2020,9787,11899
08/10/2020,10097,12063
09/10/2020,8938,11909
10/10/2020,9646,12650
11/10/2020,10648,12759
12/10/2020,10495,12722
13/10/2020,10723,12727
14/10/2020,10646,12528
15/10/2020,10583,12684
16/10/2020,9142,11984
17/10/2020,9771,12637
18/10/2020,10327,12512
19/10/2020,10188,12659
20/10/2020,10568,12538
21/10/2020,9957,12026
22/10/2020,9034,9836
23/10/2020,6310,8212
24/10/2020,8031,9790
25/10/2020,8818,10732
26/10/2020,8505,10705
27/10/2020,9190,11294
28/10/2020,10012.9,11381
29/10/2020,9689,12085
30/10/2020,8265,11107
31/10/2020,8600,11266
01/11/2020,9261,11051
02/11/2020,9280,11572
03/11/2020,9250,11427
04/11/2020,8623,10322
05/11/2020,8281,9602
06/11/2020,6269,7975
07/11/2020,7204,9242
08/11/2020,8109,9801
09/11/2020,8288,10008
10/11/2020,8409,10084
11/11/2020,8245,9996
12/11/2020,8484,10193
13/11/2020,6891,8915
14/11/2020,7632,9822
15/11/2020,8157,9729
16/11/2020,8109,9719
17/11/2020,7960,9633
18/11/2020,7952,9429
19/11/2020,7892,9294
20/11/2020,6631,8454
21/11/2020,7373,9321
22/11/2020,7488,8989
23/11/2020,7154,8867
24/11/2020,7246,8762
25/11/2020,7387,8900
26/11/2020,7437,8926
27/11/2020,6082,7828
28/11/2020,10012.9,9056
29/11/2020,7473,9055
30/11/2020,7479,9074
01/12/2020,7608,8968
02/12/2020,7396,8991
03/12/2020,7491,8928
04/12/2020,6202,7922
05/12/2020,6764,9098
06/12/2020,7331,8996
07/12/2020,7331,8940
08/12/2020,7331,8940
09/12/2020,7249,8815
10/12/2020,7454,8884
11/12/2020,6316,7871
12/12/2020,6644,8743
13/12/2020,7111,8699
14/12/2020,7260,8877
15/12/2020,7160,8816
16/12/2020,6211,7679
17/12/2020,6877,8546
18/12/2020,5988,7888
19/12/2020,6253,8602
20/12/2020,7251,8763
21/12/2020,7108,8862
22/12/2020,7089,8860
23/12/2020,6930,8950
24/12/2020,7129,8838
25/12/2020,6248,7815
26/12/2020,6305,8775
27/12/2020,7231,8843
28/12/2020,10012.9,8808
29/12/2020,7434,8945
30/12/2020,7367,8911
31/12/2020,7275,8853
01/01/2021,6102,7934
02/01/2021,6500,8946
03/01/2021,7151,8863
04/01/2021,7183,8921
05/01/2021,7342,8993
06/01/2021,7533,9073
07/01/2021,7752,9116
08/01/2021,6485,8158
09/01/2021,7014,9141
10/01/2021,7635,9200
11/01/2021,7746,9283
12/01/2021,7666,9245
13/01/2021,7599,9243
14/01/2021,7847,9125
15/01/2021,6647,8182
16/01/2021,7421,9165
17/01/2021,7797,9232
18/01/2021,7758,9297
19/01/2021,7888,9380
20/01/2021,8147,9241
21/01/2021,8118,9279
22/01/2021,6681,8189
23/01/2021,7711,9242
24/01/2021,7846,9104
25/01/2021,7893,9278
26/01/2021,7917,9240
27/01/2021,7919,9272
28/01/2021,10012.9,9240
29/01/2021,6916,8348
30/01/2021,7578,9075
31/01/2021,7989,9188
01/02/2021,7901,9074
02/02/2021,7990,9234
03/02/2021,7975,9179
04/02/2021,8234,9193
05/02/2021,6894,8291
06/02/2021,7523,9277
07/02/2021,8127,9201
08/02/2021,8176,9367
09/02/2021,8158,9356
10/02/2021,8282,9495
11/02/2021,8337,9283
12/02/2021,7139,8150
13/02/2021,7956,9370
14/02/2021,8389,9370
15/02/2021,8346,9418
16/02/2021,8313,9545
17/02/2021,8201,9519
18/02/2021,8441,9529
19/02/2021,7330,8526
20/02/2021,7557,9150
21/02/2021,7264,8450
22/02/2021,8379,9576
23/02/2021,8446,9640
24/02/2021,8665,9709
25/02/2021,8807,10039
26/02/2021,7755,9102
27/02/2021,8686,10386
28/02/2021,10012.9,10603
01/03/2021,9520,10988
02/03/2021,9540,10798
03/03/2021,9209,10755
04/03/2021,9014,10640
05/03/2021,7951,9947
06/03/2021,8314,10781
07/03/2021,9720,10951
08/03/2021,9652,11416
09/03/2021,9091,11147
10/03/2021,9260,11397
11/03/2021,9693,11615
12/03/2021,8639,10869
13/03/2021,9212,9432
14/03/2021,9132,10957
15/03/2021,9445,11505
16/03/2021,9886,11595
17/03/2021,9616,10952
18/03/2021,10120,11701
19/03/2021,8737,10846
20/03/2021,9578,12176
21/03/2021,10584,12525
22/03/2021,10862,12565
23/03/2021,11146,12643
24/03/2021,11126,12790
25/03/2021,11023,12717
26/03/2021,9413,11129
27/03/2021,10425,12446
28/03/2021,10542,10603
29/03/2021,11016,12050
30/03/2021,8688,11407
31/03/2021,9878,12403
01/04/2021,11079,12893
02/04/2021,9745,11995
03/04/2021,10126,13018
04/04/2021,11262,8524
05/04/2021,8996,11347
06/04/2021,9994,11958
07/04/2021,10450,12651
08/04/2021,10322,12854
09/04/2021,8629,11655
10/04/2021,9503,13064
11/04/2021,11266,12798
12/04/2021,10900,13377
13/04/2021,11347,13308
14/04/2021,10094,13058
15/04/2021,10902,13380
16/04/2021,9873,12705
17/04/2021,8237,11940
18/04/2021,9873,12661
19/04/2021,10158,12961
20/04/2021,10747,13228
21/04/2021,11129,12542
22/04/2021,9864,12409
23/04/2021,9072,11853
24/04/2021,10005,13007
25/04/2021,11145,13520
26/04/2021,11508,13777
27/04/2021,11614,14097
28/04/2021,11773,12949
29/04/2021,11323,13788
30/04/2021,10454,13289
01/05/2021,8860,11665
02/05/2021,11158,12738
03/05/2021,10219,12943
04/05/2021,9490,11394
05/05/2021,9733,11620
06/05/2021,9841,12527
07/05/2021,9641,11125
08/05/2021,9510,12734
09/05/2021,10714,10978
10/05/2021,9904,10812
11/05/2021,8443,9453
12/05/2021,8111,10111
13/05/2021,7235,9099
14/05/2021,6995,9780
15/05/2021,7607,8766
16/05/2021,8466,10787
17/05/2021,9442,11192
18/05/2021,10113,10978
19/05/2021,10283,12768
20/05/2021,10760,11980
21/05/2021,9546,12519
22/05/2021,10561,13417
23/05/2021,12021,13357
24/05/2021,11835,12353
25/05/2021,10365,11907
26/05/2021,8780,11529
27/05/2021,9506,11749
28/05/2021,9064,11780
29/05/2021,10341,13171
30/05/2021,11332,12994
31/05/2021,10075,11840
01/06/2021,9351,11612
02/06/2021,10311,13014
03/06/2021,11290,12754
04/06/2021,9954,12215
05/06/2021,9887,11262
06/06/2021,10141,10227
07/06/2021,10513,10869
08/06/2021,9916,12411
09/06/2021,10589,12803
10/06/2021,11218,12223
11/06/2021,9153,11584
12/06/2021,10068,12668
13/06/2021,10836,12792
14/06/2021,10959,12749
15/06/2021,10948,12352
16/06/2021,9945,11896
17/06/2021,9766,11600
18/06/2021,8115,10628
19/06/2021,8530,10821
20/06/2021,9409,11276
21/06/2021,10314,12356
22/06/2021,9884,12106
23/06/2021,10676,12611
24/06/2021,10725,12604
25/06/2021,9590,12025
26/06/2021,10063,12938
27/06/2021,10888,12792
28/06/2021,10694,12335
29/06/2021,9751,11425
30/06/2021,9931,10217
01/07/2021,8476,10097
02/07/2021,7379,9942
03/07/2021,9422,11515
04/07/2021,9453,11704
05/07/2021,10231,12477
06/07/2021,10488,12433
07/07/2021,10165,11698
08/07/2021,10115,12358
09/07/2021,9162,12113
10/07/2021,10100,12898
11/07/2021,10745,12900
12/07/2021,11176,13022
13/07/2021,10278,12838
14/07/2021,10846,13077
15/07/2021,11549,13525
16/07/2021,10643,12830
17/07/2021,10670,13056
18/07/2021,11210,12953
19/07/2021,10232,11940
20/07/2021,8011,10960
21/07/2021,7208,11298
22/07/2021,8576,10908
23/07/2021,7507,10303
24/07/2021,7609,10620
25/07/2021,8451,11285
26/07/2021,9002,11354
27/07/2021,8473,10551
28/07/2021,8068,10400
29/07/2021,6782,9309
30/07/2021,7206,10204
31/07/2021,7841,10777
01/08/2021,9171,11508
02/08/2021,9739,11788
03/08/2021,10153,12060
04/08/2021,10077,11997
05/08/2021,10725,12438
06/08/2021,9711,12179
07/08/2021,10128,12159
08/08/2021,10130,12290
09/08/2021,10702,12524
10/08/2021,10905,12673
11/08/2021,11012,12768
12/08/2021,11313,12748
13/08/2021,9304,11840
14/08/2021,10835,12706
15/08/2021,261.746322,12487
16/08/2021,10707,12987
17/08/2021,10648,12675
18/08/2021,10515,12526
19/08/2021,10634,12531
20/08/2021,8811,11651
21/08/2021,10166,12686
22/08/2021,11340,13271
23/08/2021,11327,12491
24/08/2021,11120,12864
25/08/2021,11048,12919
26/08/2021,11031,12416
27/08/2021,9423,12120
28/08/2021,10251,12743
29/08/2021,10869,12893
30/08/2021,10470,12868
31/08/2021,11410,13185
01/09/2021,11135,13075
02/09/2021,11166,12964
03/09/2021,9805,12602
04/09/2021,10530,13343
05/09/2021,11723,13148
06/09/2021,11421,13082
07/09/2021,11003,13060
08/09/2021,11201,13130
09/09/2021,11320,13314
10/09/2021,10074,12581
11/09/2021,10978,13509
12/09/2021,11415,13025
13/09/2021,11105,12951
14/09/2021,10553,12442
15/09/2021,11168,13085
16/09/2021,11051,13020
17/09/2021,8941,8941
18/09/2021,10002,12647
19/09/2021,10431,12370
20/09/2021,10671,12571
21/09/2021,10511,12523
22/09/2021,10870,12491
23/09/2021,11229,13052
24/09/2021,9875,12696
25/09/2021,10961,13052
26/09/2021,11506,12936
27/09/2021,11458,12716
28/09/2021,10875,12371
29/09/2021,10236,12503
30/09/2021,10926,13065
01/10/2021,9693,12308
02/10/2021,10805,13178
03/10/2021,10430,11569
04/10/2021,10354,12425
05/10/2021,10505,12406
06/10/2021,10784,12829
07/10/2021,11291,12972
08/10/2021,9556,12349
09/10/2021,10263,13243
10/10/2021,11533,13390
11/10/2021,11837,13482
12/10/2021,11973,13420
13/10/2021,11513,13445
14/10/2021,11987,13102
15/10/2021,10398,11744
16/10/2021,10815,12829
17/10/2021,11277,12100
18/10/2021,10248,11556
19/10/2021,9437,11009
20/10/2021,9154,10550
21/10/2021,9930,11874
22/10/2021,8300,10215
23/10/2021,8710,11457
24/10/2021,9809,11618
25/10/2021,9650,11615
26/10/2021,9962,11827
27/10/2021,9839,11784
28/10/2021,9973,11926
29/10/2021,8438,10780
30/10/2021,9475,11641
31/10/2021,9445,10779
01/11/2021,9044,10331
02/11/2021,8757,10274
03/11/2021,8791,10389
04/11/2021,8919,10114
05/11/2021,7413,8681
06/11/2021,7845,9659
07/11/2021,8399,9785
08/11/2021,8471,9853
09/11/2021,8626,10228
10/11/2021,8827,10254
11/11/2021,8739,10067
12/11/2021,7487,8907
13/11/2021,7938,9174
14/11/2021,8043,9240
15/11/2021,8203,9519
16/11/2021,8298,9504
17/11/2021,8059,9614
18/11/2021,8362,9747
19/11/2021,7051,8271
20/11/2021,7762,9598
21/11/2021,8129,9464
22/11/2021,8210,9734
23/11/2021,8396,10026
24/11/2021,7982,9668
25/11/2021,8221,9664
26/11/2021,6648,8261
27/11/2021,7520,9338
28/11/2021,7811,9173
29/11/2021,8035,9456
30/11/2021,7986,9396
01/12/2021,8254,9537
02/12/2021,8400,9588
03/12/2021,6698,8300
04/12/2021,7235,9409
05/12/2021,7990,9231
06/12/2021,7593,8671
07/12/2021,8001,9321
08/12/2021,8037,9460
09/12/2021,8186,9444
10/12/2021,6751,8214
11/12/2021,7253,9326
12/12/2021,7833,9246
13/12/2021,7769,9313
14/12/2021,7638,9221
15/12/2021,7828,9137
16/12/2021,6480,7802
17/12/2021,6418,7955
18/12/2021,6938,9047
19/12/2021,7644,9061
20/12/2021,7604,9082
21/12/2021,7803,9336
22/12/2021,7959,9312
23/12/2021,7927,9245
24/12/2021,6700,8150
25/12/2021,7631,9013
26/12/2021,7598,9149
27/12/2021,7888,9446
28/12/2021,7942,9368
29/12/2021,8046,9398
30/12/2021,8088,9302
31/12/2021,6768,8193
01/01/2022,7339,8985
02/01/2022,7659,9156
03/01/2022,6698,9342
04/01/2022,7954,9406
05/01/2022,7756,9239
06/01/2022,8136,9338
07/01/2022,6932,8218
08/01/2022,7280,9513
09/01/2022,8149,9537
10/01/2022,8242,9612
11/01/2022,8457,9726
12/01/2022,8347,9583
13/01/2022,8555,9643
14/01/2022,7236,8349
15/01/2022,7688,9604
16/01/2022,8286,9676
17/01/2022,8276,9771
18/01/2022,8453,9829
19/01/2022,8575,9853
20/01/2022,8645,9783
21/01/2022,7503,8615
22/01/2022,8154,9673
23/01/2022,8883,9735
24/01/2022,8804,9894
25/01/2022,8842,10021
26/01/2022,8795,9699
27/01/2022,8843,9959
28/01/2022,7718,8683
29/01/2022,8280,9869
30/01/2022,8945,9867
31/01/2022,8869,9801
01/02/2022,8977,9775
02/02/2022,8934,10011
03/02/2022,9086,9784
04/02/2022,6344,7350
05/02/2022,7466,9073
06/02/2022,8023,9448
07/02/2022,8198,9478
08/02/2022,8339,9671
09/02/2022,8610,9748
10/02/2022,8698,9596
11/02/2022,7479,8555
12/02/2022,7982,9667
13/02/2022,8773,9873
14/02/2022,8748,10004
15/02/2022,8913,9913
16/02/2022,8992,9951
17/02/2022,9145,10099
18/02/2022,7737,8785
19/02/2022,8582,10000
20/02/2022,9002,9542
21/02/2022,7730,8561
22/02/2022,8832,9947
23/02/2022,9090,10262
24/02/2022,9254,10225
25/02/2022,7966,8937
26/02/2022,9028,10381
27/02/2022,9422,9939
28/02/2022,9529,10737
01/03/2022,9499,10490
02/03/2022,9491,10667
03/03/2022,9486,10844
04/03/2022,8104,9443
05/03/2022,9171,10895
06/03/2022,9857,11024
07/03/2022,10123,11424
08/03/2022,10327,11802
09/03/2022,10381,11895
10/03/2022,10466,11722
11/03/2022,8958,10372
12/03/2022,9715,11669
13/03/2022,10708,11621
14/03/2022,10873,11899
15/03/2022,10955,12170
16/03/2022,11132,12631
17/03/2022,11164,12597
18/03/2022,10217,11521
19/03/2022,9622,12075
20/03/2022,11430,13038
21/03/2022,11435,13024
22/03/2022,11773,13096
23/03/2022,12003,13412
24/03/2022,11630,13284
25/03/2022,10407,12418
26/03/2022,10189,12593
27/03/2022,12116,13108
28/03/2022,11642,13347
29/03/2022,11507,12769
30/03/2022,11517,13283
31/03/2022,11586,13662
01/04/2022,10180,12585
02/04/2022,10811,13718
03/04/2022,11724,13130
04/04/2022,11058,13712
05/04/2022,11914,13986
06/04/2022,11856,13635
07/04/2022,10673,14351
08/04/2022,10673,13442
09/04/2022,11742,13906
10/04/2022,11613,12853
11/04/2022,11129,13832
12/04/2022,11626,14423
13/04/2022,11832,14178
14/04/2022,10842,13465
15/04/2022,11031,13860
16/04/2022,11701,14782
17/04/2022,12346,14387
18/04/2022,12320,14470
19/04/2022,12322,14419
20/04/2022,6920,10043
21/04/2022,9731,13046
22/04/2022,9263,9317
23/04/2022,10383,13766
24/04/2022,11995,13975
25/04/2022,12633,14714
26/04/2022,12895,14716
27/04/2022,12323,14635
28/04/2022,12764,14544
29/04/2022,11516,13079
30/04/2022,9186,11464
01/05/2022,8519,11978
02/05/2022,7540,10798
03/05/2022,6014,7880
04/05/2022,6447,9610
05/05/2022,7943,10543
06/05/2022,7708,10543
07/05/2022,9541,11937
08/05/2022,10901,12734
09/05/2022,10378,11820
10/05/2022,9695,11472
11/05/2022,10204,11566
12/05/2022,10744,12736
13/05/2022,8827,10889
14/05/2022,10184,13297
15/05/2022,10853,13701
16/05/2022,11587,13954
17/05/2022,11026,13256
18/05/2022,11832,13760
19/05/2022,11857,12907
20/05/2022,8660,11749
21/05/2022,7266,10998
22/05/2022,10951,13456
23/05/2022,11466,13810
24/05/2022,11993,13923
25/05/2022,11624,13024
26/05/2022,11753,13361
27/05/2022,10118,11869
28/05/2022,10702,12348
29/05/2022,11023,13303
30/05/2022,11410,13713
31/05/2022,11563,13655
01/06/2022,11886,13797
02/06/2022,11829,13474
03/06/2022,9939,12725
04/06/2022,10222,13036
05/06/2022,11791,13833
06/06/2022,11848,14004
07/06/2022,11900,13587
08/06/2022,12226,13985
09/06/2022,10677,12051
10/06/2022,9695,12700
11/06/2022,11160,13803
12/06/2022,11802,13492
13/06/2022,11768,12914
14/06/2022,11633,13200
15/06/2022,11406,13264
16/06/2022,11489,12989
17/06/2022,8231,9530
18/06/2022,9978,11850
19/06/2022,10591,12133
20/06/2022,10336,12439
21/06/2022,10785,13023
22/06/2022,11018,13082
23/06/2022,11338,13194
24/06/2022,9942,12570
25/06/2022,11756,13319
26/06/2022,11933,13696
27/06/2022,12067,13523
28/06/2022,11825,13332
29/06/2022,11705,13485
30/06/2022,12067,13523
01/07/2022,,13119
02/07/2022,,13607
03/07/2022,,13615
04/07/2022,,13636
05/07/2022,,13678
06/07/2022,,13864
07/07/2022,,13619
08/07/2022,,12785
09/07/2022,,11760
10/07/2022,,12102
11/07/2022,,11800
12/07/2022,,12181
13/07/2022,,12068
14/07/2022,,12300
15/07/2022,,12626
16/07/2022,,13538
17/07/2022,,13765
18/07/2022,,14006
19/07/2022,,14124
20/07/2022,,13664
21/07/2022,,13797
22/07/2022,,13206
23/07/2022,,13914
24/07/2022,,12579
25/07/2022,,13266
26/07/2022,,13420.94583
27/07/2022,,13704
28/07/2022,,13720
29/07/2022,,13089
30/07/2022,,13817
31/07/2022,,13707
